jpg,material
0065501_RP-T-00-1224.jpg,tekening
0003787_SK-A-1268.jpg,schilderij
0083492_BK-1976-47-A.jpg,vaas
0006624_BK-NM-12400-302.jpg,schaal (objectnaam)
0081620_AK-MAK-1649.jpg,boek
0027812_RP-T-00-460.jpg,tekening
0070865_RP-F-F18330.jpg,foto
0025576_RP-T-00-314(V).jpg,tekening
0003753_SK-A-1106.jpg,schilderij
0081645_BK-NM-144-6.jpg,beeldhouwwerk
0070413_RP-F-F17640.jpg,foto
0001275_AK-NM-6398-A.jpg,kom
0006810_BK-NM-5066-M.jpg,schotel
0072076_RP-P-OB-51.035.jpg,prent
0020738_RP-P-1953-504.jpg,foto
0003515_SK-A-428.jpg,schilderij
0026044_RP-T-1981-71.jpg,tekening
0069075_NG-MC-368.jpg,werfmodel
0076238_BK-1984-172.jpg,kom
0106885_RP-P-OB-102.338.jpg,tekstblad
0010558_RP-T-1891-A-2440(R).jpg,tekening
0091621_RP-T-1887-A-758.jpg,tekening
0066365_RP-T-1905-152.jpg,tekening
0037824_RP-P-BI-6954.jpg,prent
0108770_RP-P-OB-83.901A.jpg,tekstblad
0004491_SK-A-3401.jpg,schilderij
0009055_BK-16941-B.jpg,beeldhouwwerk
0070536_RP-F-F14482-A.jpg,foto
0000819_AK-RAK-1971-2.jpg,kom
0070605_RP-F-F14554-A.jpg,foto
0000347_AK-MAK-617.jpg,kom
0076220_BK-1983-119.jpg,kom
0008415_AK-RBK-16284-A.jpg,vaas
0009776_RP-T-1930-20.jpg,tekening
0000385_AK-MAK-569.jpg,vaas
0039216_BI-F-B0073-37.jpg,foto
0001916_SK-C-175.jpg,schilderij
0002420_SK-A-367.jpg,schilderij
0002276_SK-A-1122.jpg,schilderij
0102537_RP-P-OB-81.908.jpg,tekstblad
0006702_BK-KOG-284.jpg,bord (vaatwerk)
0111253_RP-F-2011-24.jpg,foto
0021887_RP-P-1889-A-14489.jpg,prent
0000561_AK-MAK-872.jpg,schaal (objectnaam)
0092934_RP-P-2006-282.jpg,tekstblad
0001632_AK-NM-11435-A.jpg,kom
0005156_SK-A-3439.jpg,schilderij
0006564_BK-NM-11908.jpg,schotel
0001564_AK-NM-4095.jpg,bord (vaatwerk)
0063638_NG-1985-7-2-82.jpg,tekening
0071747_RP-F-F04444.jpg,foto
0071463_RP-F-F25505-AZ.jpg,foto
0052374_RP-P-1896-A-19368-225.jpg,prent
0008575_BK-1955-83.jpg,beeldhouwwerk
