ds_num,ds_size,model,acc,b_acc,top3_acc,top5_acc
0,10,beit_b_16,0.7349397590361446,0.6888888888888888,0.927710843373494,0.9759036144578314
0,10,convnext_b,0.8554216867469879,0.8688888888888889,0.9879518072289156,1.0
0,10,deit_b_16,0.8554216867469879,0.8433333333333334,0.9759036144578314,1.0
0,10,efficientnetv2_m,0.6506024096385542,0.6533333333333334,0.9036144578313253,0.963855421686747
0,10,resnet50,0.8313253012048193,0.8200000000000001,0.963855421686747,0.9759036144578314
0,10,swin_b,0.8554216867469879,0.8688888888888889,0.9879518072289156,1.0
0,10,vgg19,0.7590361445783133,0.7188888888888889,0.963855421686747,0.9879518072289156
0,10,vit_b_16,0.8192771084337349,0.7688888888888888,0.9879518072289156,1.0
0,18,beit_b_16,0.7602739726027398,0.6948148148148149,0.9383561643835616,0.9726027397260274
0,18,convnext_b,0.8356164383561644,0.7826984126984127,0.958904109589041,0.9931506849315068
0,18,deit_b_16,0.8424657534246576,0.8023280423280423,0.9726027397260274,1.0
0,18,efficientnetv2_m,0.7602739726027398,0.7355555555555554,0.9452054794520548,0.9931506849315068
0,18,resnet50,0.7876712328767124,0.7286243386243386,0.9726027397260274,1.0
0,18,swin_b,0.8698630136986302,0.8133333333333334,0.9657534246575342,0.9931506849315068
0,18,vgg19,0.8082191780821918,0.7718518518518518,0.9657534246575342,0.9931506849315068
0,18,vit_b_16,0.8287671232876712,0.7877248677248676,0.9726027397260274,0.9931506849315068
0,32,beit_b_16,0.77734375,0.7495681605975723,0.98828125,0.99609375
0,32,convnext_b,0.859375,0.852334974393798,1.0,1.0
0,32,deit_b_16,0.88671875,0.8621323529411764,0.9921875,1.0
0,32,efficientnetv2_m,0.78515625,0.7868587839176074,0.96875,0.98828125
0,32,resnet50,0.8515625,0.8254967390996804,0.9921875,1.0
0,32,swin_b,0.8828125,0.8615747814277225,0.99609375,1.0
0,32,vgg19,0.8515625,0.8509370667458903,0.97265625,1.0
0,32,vit_b_16,0.87109375,0.8550298149562855,0.99609375,1.0
0,56,beit_b_16,0.8325991189427313,0.8287396031623534,0.9647577092511013,0.986784140969163
0,56,convnext_b,0.8920704845814978,0.8872487364550182,0.9845814977973568,0.9955947136563876
0,56,deit_b_16,0.9030837004405287,0.9000940890839023,0.9845814977973568,0.9977973568281938
0,56,efficientnetv2_m,0.8061674008810573,0.8014217912817235,0.960352422907489,0.9933920704845814
0,56,resnet50,0.8568281938325991,0.8569236813931211,0.9713656387665198,0.9889867841409692
0,56,swin_b,0.8942731277533039,0.8963966735019366,0.9889867841409692,1.0
0,56,vgg19,0.8634361233480177,0.8751789787273657,0.9823788546255506,0.9933920704845814
0,56,vit_b_16,0.8832599118942731,0.8832460305210729,0.9845814977973568,0.9933920704845814
0,100,beit_b_16,0.835633626097867,0.8220097375989793,0.9799247176913425,0.9962358845671268
0,100,convnext_b,0.8808030112923463,0.8648968483885187,0.9924717691342535,0.9974905897114178
0,100,deit_b_16,0.8883312421580929,0.8712596477998216,0.9924717691342535,0.998745294855709
0,100,efficientnetv2_m,0.8005018820577164,0.7914148147386619,0.9636135508155583,0.9887076537013801
0,100,resnet50,0.863237139272271,0.8426371619889238,0.9824341279799247,0.9937264742785445
0,100,swin_b,0.8946047678795483,0.8804282712140592,0.9962358845671268,1.0
0,100,vgg19,0.8293601003764115,0.8400398755604416,0.9799247176913425,0.9937264742785445
0,100,vit_b_16,0.8682559598494354,0.8655347751141647,0.986198243412798,0.9949811794228356
1,10,beit_b_16,0.7108433734939759,0.6777777777777777,0.927710843373494,0.9879518072289156
1,10,convnext_b,0.7710843373493976,0.7388888888888889,0.963855421686747,0.9759036144578314
1,10,deit_b_16,0.7831325301204819,0.7811111111111111,0.963855421686747,0.9879518072289156
1,10,efficientnetv2_m,0.6506024096385542,0.61,0.9397590361445783,0.9759036144578314
1,10,resnet50,0.6867469879518072,0.6622222222222223,0.9518072289156626,0.9879518072289156
1,10,swin_b,0.7831325301204819,0.7466666666666666,0.9879518072289156,0.9879518072289156
1,10,vgg19,0.6987951807228916,0.6633333333333334,0.963855421686747,0.9759036144578314
1,10,vit_b_16,0.7590361445783133,0.7166666666666667,0.9759036144578314,0.9879518072289156
1,18,beit_b_16,0.726027397260274,0.6922222222222222,0.9246575342465754,0.9794520547945206
1,18,convnext_b,0.7945205479452054,0.7844444444444446,0.9657534246575342,1.0
1,18,deit_b_16,0.815068493150685,0.7851851851851852,0.9863013698630136,0.9931506849315068
1,18,efficientnetv2_m,0.7191780821917808,0.7024338624338624,0.958904109589041,0.9931506849315068
1,18,resnet50,0.7945205479452054,0.7951851851851853,0.952054794520548,0.9931506849315068
1,18,swin_b,0.8493150684931506,0.8381481481481482,0.9726027397260274,1.0
1,18,vgg19,0.7671232876712328,0.768888888888889,0.9657534246575342,0.9931506849315068
1,18,vit_b_16,0.815068493150685,0.8077777777777779,0.952054794520548,0.9863013698630136
1,32,beit_b_16,0.765625,0.7102104730781202,0.96875,0.9921875
1,32,convnext_b,0.84375,0.8064355034943271,0.98828125,1.0
1,32,deit_b_16,0.84765625,0.8097093130181364,0.984375,1.0
1,32,efficientnetv2_m,0.74609375,0.733702395099454,0.953125,0.9921875
1,32,resnet50,0.81640625,0.783559686500863,0.9765625,0.99609375
1,32,swin_b,0.859375,0.8189413391619274,0.984375,1.0
1,32,vgg19,0.7890625,0.7707827575474634,0.97265625,0.99609375
1,32,vit_b_16,0.82421875,0.7888292943440002,0.98046875,0.98828125
1,56,beit_b_16,0.8436123348017621,0.814787175661539,0.9801762114537445,1.0
1,56,convnext_b,0.8986784140969163,0.8841940077466394,0.9977973568281938,1.0
1,56,deit_b_16,0.8920704845814978,0.883326877800562,0.9933920704845814,1.0
1,56,efficientnetv2_m,0.8039647577092511,0.8082816216984299,0.9713656387665198,0.9955947136563876
1,56,resnet50,0.8656387665198237,0.8530076412928705,0.9845814977973568,0.9977973568281938
1,56,swin_b,0.9185022026431718,0.8974295587453481,0.9977973568281938,1.0
1,56,vgg19,0.8458149779735683,0.8369791230275101,0.9889867841409692,1.0
1,56,vit_b_16,0.8832599118942731,0.8726854158857554,0.9911894273127754,1.0
1,100,beit_b_16,0.8594730238393977,0.8577477721738374,0.9874529485570891,0.9949811794228356
1,100,convnext_b,0.8971141781681304,0.8891184308181213,0.9899623588456713,0.9949811794228356
1,100,deit_b_16,0.9021329987452948,0.8898688991671447,0.9912170639899623,0.9974905897114178
1,100,efficientnetv2_m,0.8105395232120451,0.8181013892742455,0.973651191969887,0.9899623588456713
1,100,resnet50,0.8782936010037641,0.8711616824871514,0.9887076537013801,0.9949811794228356
1,100,swin_b,0.9096612296110415,0.9079396672554567,0.9912170639899623,0.9974905897114178
1,100,vgg19,0.8519447929736512,0.8613804962380815,0.986198243412798,0.9937264742785445
1,100,vit_b_16,0.8833124215809285,0.883366776371789,0.9899623588456713,0.9937264742785445
2,10,beit_b_16,0.7228915662650602,0.6744444444444444,0.927710843373494,1.0
2,10,convnext_b,0.8313253012048193,0.791111111111111,1.0,1.0
2,10,deit_b_16,0.891566265060241,0.8488888888888888,1.0,1.0
2,10,efficientnetv2_m,0.7710843373493976,0.7266666666666667,0.9397590361445783,0.9759036144578314
2,10,resnet50,0.8433734939759037,0.8444444444444444,0.9879518072289156,0.9879518072289156
2,10,swin_b,0.9036144578313253,0.8955555555555555,0.9879518072289156,0.9879518072289156
2,10,vgg19,0.7590361445783133,0.7466666666666666,0.963855421686747,0.9879518072289156
2,10,vit_b_16,0.8313253012048193,0.8355555555555555,0.9759036144578314,0.9879518072289156
2,18,beit_b_16,0.8082191780821918,0.7944444444444445,0.958904109589041,0.9794520547945206
2,18,convnext_b,0.863013698630137,0.8522222222222223,0.9931506849315068,1.0
2,18,deit_b_16,0.8287671232876712,0.8088888888888889,0.9794520547945206,1.0
2,18,efficientnetv2_m,0.7808219178082192,0.7793650793650795,0.9657534246575342,0.9794520547945206
2,18,resnet50,0.815068493150685,0.7956613756613756,0.9931506849315068,0.9931506849315068
